epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.9612,0.62807,5.67719,1.12933,0,0,0,0,0,0,0,7.98662e-06,7.98662e-06,7.98662e-06
2,160.818,0.37076,4.52379,0.96927,0,0,0,0,0,0,0,1.56701e-05,1.56701e-05,1.56701e-05
3,238.957,0.34463,3.82892,0.95504,0,0,0,0,0,0,0,2.30368e-05,2.30368e-05,2.30368e-05
4,317.077,0.32776,3.08891,0.94185,0,0,0,0,0,0,0,2.25744e-05,2.25744e-05,2.25744e-05
5,395.074,0.32028,2.44001,0.93596,0,0,0,0,0,0,0,2.20992e-05,2.20992e-05,2.20992e-05
6,474.435,0.30942,1.96341,0.92828,0,0,0,0,0,0,0,2.1624e-05,2.1624e-05,2.1624e-05
7,556.257,0.29958,1.66096,0.92068,0,0,0,0,0,0,0,2.11488e-05,2.11488e-05,2.11488e-05
8,637.368,0.28556,1.42152,0.91235,0,0,0,0,0,0,0,2.06736e-05,2.06736e-05,2.06736e-05
9,715.681,0.27477,1.23576,0.90793,0,0,0,0,0,0,0,2.01984e-05,2.01984e-05,2.01984e-05
10,793.701,0.27302,1.10489,0.90586,0,0,0,0,0,0,0,1.97232e-05,1.97232e-05,1.97232e-05
11,871.563,0.26734,0.99344,0.90505,0,0,0,0,0,0,0,1.9248e-05,1.9248e-05,1.9248e-05
12,949.472,0.26278,0.92587,0.9017,0,0,0,0,0,0,0,1.87728e-05,1.87728e-05,1.87728e-05
13,1027.51,0.25799,0.86115,0.8974,0,0,0,0,0,0,0,1.82976e-05,1.82976e-05,1.82976e-05
14,1105.4,0.25561,0.795,0.89561,0,0,0,0,0,0,0,1.78224e-05,1.78224e-05,1.78224e-05
15,1182.22,0.248,0.74837,0.89347,0,0,0,0,0,0,0,1.73472e-05,1.73472e-05,1.73472e-05
16,1258.52,0.24584,0.70699,0.8909,0,0,0,0,0,0,0,1.6872e-05,1.6872e-05,1.6872e-05
