epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.706,0.52357,5.1186,1.04887,0,0,0,0,0,0,0,0.00333194,0.00333194,0.00333194
2,214.89,0.49561,3.99004,0.98546,0,0,0,0,0,0,0,0.00659929,0.00659929,0.00659929
3,317.85,0.54148,3.41823,0.98803,0,0,0,0,0,0,0,0.00980063,0.00980063,0.00980063
4,422.565,0.54191,3.00667,0.97995,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,526.318,0.49589,2.58257,0.96251,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,633.787,0.4515,2.29256,0.94559,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,742.41,0.42232,2.0461,0.93736,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,845.984,0.40724,1.85319,0.9325,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,951.127,0.38445,1.71151,0.9253,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
