epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38568.7,1.66402,4.86921,1.69007,0,0,0,0,0,0,0,0.00325979,0.00325979,0.00325979
2,76839.6,1.48907,3.2355,1.55539,0,0,0,0,0,0,0,0.00645526,0.00645526,0.00645526
3,115093,1.4381,2.48305,1.51895,0,0,0,0,0,0,0,0.00958622,0.00958622,0.00958622
4,153444,1.3796,2.04779,1.4934,0,0,0,0,0,0,0,0.00970316,0.00970316,0.00970316
5,191716,1.29254,1.74944,1.46152,0,0,0,0,0,0,0,0.00960421,0.00960421,0.00960421
