Experiment,mAP@0.5,Precision,Recall,F1-Score,FPS,Inference Time (ms),Milvus Hit Rate
YOLOv8_Baseline_488_Classes,0.9413591367460143,0.8719815248310041,0.9326833406519898,0.901311542785508,276.0300246221687,3.622794300615685,0.0
YOLOv11_Baseline_488_Classes,0.9351676043366061,0.8947952265132015,0.9412993090017518,0.9174583416440775,269.25427593786276,3.7139614459856354,0.0
YOLOv8_DOLG_Milvus_Hybrid,0.025341107163925687,0.0453648915178429,0.04609218436781378,0.04572564112266811,184.43285617224606,5.4220274020268775,82.64299802761342
YOLOv8_DOLG_Milvus_HighThreshold,0.11243586563882266,0.1873767258345685,0.19038076151923083,0.1888667942013329,185.5819599746653,5.388454783732831,0.0
