epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,772.028,0.85928,4.35995,1.27274,0,0,0,0,0,0,0,0.00333313,0.00333313,0.00333313
2,1499.19,0.78707,2.67147,1.18236,0,0,0,0,0,0,0,0.00660047,0.00660047,0.00660047
3,2220.87,0.81542,2.2848,1.1797,0,0,0,0,0,0,0,0.0098018,0.0098018,0.0098018
4,2940.52,0.79105,2.02625,1.16462,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,3660.83,0.72108,1.67421,1.12954,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,4382.09,0.68261,1.48488,1.11048,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,5103.46,0.6528,1.34888,1.09612,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,5825.32,0.63371,1.26375,1.0851,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,6546.92,0.62039,1.18661,1.07819,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,7268.52,0.60624,1.12902,1.07244,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,7990.58,0.59582,1.09186,1.06548,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,8712.64,0.58927,1.05318,1.06289,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,9434.87,0.57934,1.01672,1.05795,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,10157.5,0.57413,0.99173,1.05449,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,10880.2,0.56759,0.96487,1.05113,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,11603.3,0.56446,0.95115,1.04985,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,12326.9,0.55711,0.92659,1.04485,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,13050.8,0.5554,0.91392,1.04483,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,13775.2,0.54829,0.90161,1.04158,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,14500.4,0.54322,0.88043,1.03901,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,15225.3,0.54053,0.86741,1.03706,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,15951.7,0.53644,0.85597,1.03309,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,16678.8,0.53809,0.84904,1.03656,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,17413.4,0.53114,0.83682,1.03171,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,18141.4,0.52935,0.82699,1.03133,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,18870.5,0.52689,0.8166,1.02964,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,19599.4,0.5225,0.80672,1.0272,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,20329.3,0.52364,0.80261,1.02914,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,21059.8,0.5171,0.78986,1.024,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,21791.1,0.51498,0.78182,1.02299,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,22522.2,0.5121,0.77894,1.02207,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,23253.9,0.51284,0.77343,1.02121,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,23985.4,0.50783,0.76175,1.01792,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,24717.5,0.50585,0.75448,1.0176,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,25450,0.50432,0.74608,1.01755,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,26183.2,0.49985,0.74233,1.01442,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,26916.5,0.49798,0.73408,1.01374,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,27649.6,0.49451,0.72994,1.01216,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,28382.8,0.49161,0.72402,1.01055,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,29115.6,0.49194,0.71554,1.01068,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,29848.2,0.48832,0.70813,1.00945,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
