epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.512,0.96639,5.25393,0.81955,0,0,0,0,0,0,0,0.00312133,0.00312133,0.00312133
2,211.879,0.89375,4.18792,0.76942,0,0,0,0,0,0,0,0.00618214,0.00618214,0.00618214
3,314.597,1.04393,3.69884,0.7841,0,0,0,0,0,0,0,0.00918113,0.00918113,0.00918113
4,416.785,1.09164,3.34626,0.79025,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,518.891,0.95145,2.90394,0.76429,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,621.133,0.84055,2.61983,0.74426,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,723.28,0.78037,2.40443,0.73422,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,825.693,0.74538,2.24287,0.72838,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,927.845,0.72136,2.10856,0.72525,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,1029.98,0.69852,1.95418,0.71835,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,1132.27,0.66894,1.82205,0.7145,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1234.39,0.65305,1.72562,0.71124,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,1336.46,0.63497,1.62752,0.70945,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,1438.76,0.62619,1.53788,0.70784,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,1540.8,0.60784,1.4474,0.70666,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,1642.88,0.6063,1.38255,0.70451,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,1745.32,0.59793,1.31544,0.70542,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,1847.5,0.58846,1.27125,0.70369,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,1949.69,0.57419,1.19874,0.7018,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,2052.06,0.56748,1.19292,0.7007,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,2154.17,0.56299,1.14328,0.69914,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,2256.35,0.55624,1.10091,0.69675,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,2358.67,0.55299,1.06147,0.69648,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,2460.9,0.54955,1.04521,0.69848,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,2563.02,0.54227,0.99061,0.69746,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,2665.27,0.53561,0.99707,0.69171,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,2767.33,0.53423,0.97643,0.69505,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,2869.5,0.52144,0.926,0.69236,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,2971.75,0.52083,0.91188,0.69207,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,3073.92,0.51653,0.89582,0.69121,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,3176.04,0.50892,0.87416,0.69205,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,3278.2,0.5059,0.857,0.69017,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,3380.31,0.50302,0.8368,0.6887,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,3482.48,0.49546,0.82552,0.6904,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,3584.81,0.49312,0.80602,0.68819,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,3686.92,0.49063,0.77474,0.6867,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,3789.1,0.48556,0.76092,0.68627,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,3891.33,0.48898,0.74204,0.68868,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,3993.41,0.47152,0.73552,0.68328,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,4095.57,0.47345,0.75221,0.68875,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,4197.83,0.47388,0.72917,0.68417,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,4299.88,0.47646,0.70358,0.68413,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,4402.3,0.47411,0.69204,0.68558,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,4504.51,0.46987,0.67542,0.68523,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,4606.67,0.463,0.66896,0.68682,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,4708.93,0.45634,0.6524,0.68282,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,4811.01,0.45929,0.64822,0.68411,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,4913.19,0.46008,0.64449,0.68338,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,5015.53,0.45245,0.63445,0.68256,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,5117.63,0.44657,0.63219,0.68171,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,5219.8,0.43863,0.60929,0.67906,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,5322.07,0.44793,0.60223,0.68156,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,5424.3,0.44647,0.58616,0.68218,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,5526.62,0.42907,0.57258,0.67907,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,5628.87,0.43692,0.58172,0.68082,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,5731.11,0.4357,0.57575,0.68081,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,5833.29,0.43099,0.56371,0.67951,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,5935.94,0.42163,0.5325,0.67675,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,6038.28,0.42135,0.53541,0.67808,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,6140.48,0.41578,0.52936,0.67849,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,6242.81,0.41761,0.53435,0.67777,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,6344.91,0.42029,0.50978,0.6766,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,6447.15,0.40369,0.49814,0.67539,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,6549.5,0.40798,0.4961,0.6774,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,6651.72,0.40541,0.49205,0.67562,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,6753.83,0.40251,0.47503,0.67401,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,6856.24,0.40959,0.4859,0.6768,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,6958.43,0.40325,0.4605,0.67461,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,7060.54,0.40137,0.45727,0.67535,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,7162.94,0.39562,0.43614,0.67317,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,7265.14,0.39135,0.44824,0.67281,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,7367.32,0.39567,0.45345,0.67446,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,7469.61,0.38284,0.43625,0.67316,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,7571.81,0.38463,0.42722,0.67372,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,7673.87,0.37894,0.41552,0.6722,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,7776.12,0.38328,0.40756,0.67333,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,7878.27,0.37477,0.39089,0.67102,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
78,7980.56,0.37374,0.39794,0.67072,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
79,8082.65,0.37101,0.38125,0.67022,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
80,8184.54,0.36758,0.38151,0.66998,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
81,8286.68,0.36966,0.37002,0.67081,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
82,8388.77,0.36551,0.37217,0.67371,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
83,8490.87,0.36008,0.35925,0.66992,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
84,8593.08,0.34988,0.34962,0.66712,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
85,8695.13,0.35371,0.34893,0.66805,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
86,8797.16,0.35183,0.34082,0.6688,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
87,8899.41,0.34656,0.33742,0.66736,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
88,9001.52,0.34663,0.34224,0.66733,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
89,9103.77,0.33926,0.31977,0.66667,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
90,9206.11,0.3362,0.3137,0.66623,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
91,9307.26,0.25005,0.13794,0.63307,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
92,9408.49,0.248,0.13809,0.63046,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
93,9509.78,0.24291,0.134,0.63202,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
94,9610.96,0.23719,0.1236,0.6291,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
95,9712.1,0.23335,0.1254,0.63096,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
96,9813.31,0.23184,0.12164,0.62863,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
97,9914.7,0.22619,0.11402,0.63033,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
98,10015.8,0.22145,0.10841,0.6294,0,0,0,0,0,0,0,0.000397,0.000397,0.000397
99,10117,0.21953,0.10802,0.62903,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
