epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108,0.53899,7.53591,0.85102,0,0,0,0,0,0,0,0.00319391,0.00319391,0.00319391
2,211.277,0.52377,5.75123,0.80254,0,0,0,0,0,0,0,0.00632578,0.00632578,0.00632578
3,313.64,0.56811,4.92988,0.80656,0,0,0,0,0,0,0,0.00939429,0.00939429,0.00939429
4,415.667,0.56739,4.46105,0.80401,0,0,0,0,0,0,0,0.00970248,0.00970248,0.00970248
5,517.673,0.51092,3.95978,0.78866,0,0,0,0,0,0,0,0.0096033,0.0096033,0.0096033
6,619.361,0.47809,3.63588,0.77769,0,0,0,0,0,0,0,0.00950413,0.00950413,0.00950413
7,721.058,0.45222,3.29776,0.77196,0,0,0,0,0,0,0,0.00940496,0.00940496,0.00940496
8,823.24,0.42799,3.00974,0.76152,0,0,0,0,0,0,0,0.00930578,0.00930578,0.00930578
9,925.052,0.40989,2.80261,0.76098,0,0,0,0,0,0,0,0.00920661,0.00920661,0.00920661
10,1026.82,0.39651,2.54627,0.75265,0,0,0,0,0,0,0,0.00910743,0.00910743,0.00910743
11,1128.88,0.39047,2.38227,0.75754,0,0,0,0,0,0,0,0.00900826,0.00900826,0.00900826
12,1230.87,0.38129,2.29161,0.75093,0,0,0,0,0,0,0,0.00890909,0.00890909,0.00890909
13,1332.84,0.37279,2.17792,0.7499,0,0,0,0,0,0,0,0.00880991,0.00880991,0.00880991
14,1434.55,0.36653,2.03866,0.74795,0,0,0,0,0,0,0,0.00871074,0.00871074,0.00871074
15,1536.59,0.36905,1.96463,0.74622,0,0,0,0,0,0,0,0.00861156,0.00861156,0.00861156
16,1638.5,0.35665,1.83113,0.74453,0,0,0,0,0,0,0,0.00851239,0.00851239,0.00851239
17,1740.53,0.35028,1.75142,0.74306,0,0,0,0,0,0,0,0.00841322,0.00841322,0.00841322
18,1842.63,0.34719,1.723,0.74148,0,0,0,0,0,0,0,0.00831404,0.00831404,0.00831404
19,1944.68,0.33949,1.61342,0.74129,0,0,0,0,0,0,0,0.00821487,0.00821487,0.00821487
20,2046.78,0.33281,1.59383,0.73796,0,0,0,0,0,0,0,0.00811569,0.00811569,0.00811569
21,2148.94,0.33045,1.5423,0.73569,0,0,0,0,0,0,0,0.00801652,0.00801652,0.00801652
22,2250.91,0.32716,1.51034,0.73536,0,0,0,0,0,0,0,0.00791735,0.00791735,0.00791735
23,2352.99,0.32626,1.45872,0.73455,0,0,0,0,0,0,0,0.00781817,0.00781817,0.00781817
24,2454.95,0.32374,1.41417,0.73675,0,0,0,0,0,0,0,0.007719,0.007719,0.007719
25,2557.15,0.32542,1.3688,0.73679,0,0,0,0,0,0,0,0.00761982,0.00761982,0.00761982
26,2659.08,0.32268,1.37497,0.73324,0,0,0,0,0,0,0,0.00752065,0.00752065,0.00752065
27,2761.14,0.31686,1.30692,0.73342,0,0,0,0,0,0,0,0.00742148,0.00742148,0.00742148
28,2863.3,0.31549,1.29657,0.73221,0,0,0,0,0,0,0,0.0073223,0.0073223,0.0073223
29,2965.19,0.30973,1.25069,0.7324,0,0,0,0,0,0,0,0.00722313,0.00722313,0.00722313
30,3067.09,0.3086,1.23511,0.73308,0,0,0,0,0,0,0,0.00712395,0.00712395,0.00712395
31,3169,0.30751,1.20443,0.73185,0,0,0,0,0,0,0,0.00702478,0.00702478,0.00702478
32,3270.9,0.31024,1.16141,0.73324,0,0,0,0,0,0,0,0.00692561,0.00692561,0.00692561
33,3372.91,0.30359,1.1505,0.72925,0,0,0,0,0,0,0,0.00682643,0.00682643,0.00682643
34,3474.79,0.30599,1.12445,0.73055,0,0,0,0,0,0,0,0.00672726,0.00672726,0.00672726
35,3576.69,0.29755,1.08373,0.72846,0,0,0,0,0,0,0,0.00662808,0.00662808,0.00662808
36,3678.49,0.29385,1.08244,0.72836,0,0,0,0,0,0,0,0.00652891,0.00652891,0.00652891
37,3780.43,0.29269,1.07077,0.72883,0,0,0,0,0,0,0,0.00642974,0.00642974,0.00642974
38,3882.64,0.2901,1.02201,0.72617,0,0,0,0,0,0,0,0.00633056,0.00633056,0.00633056
39,3984.71,0.28556,1.02,0.72512,0,0,0,0,0,0,0,0.00623139,0.00623139,0.00623139
40,4086.58,0.29089,1.00623,0.72743,0,0,0,0,0,0,0,0.00613221,0.00613221,0.00613221
41,4188.45,0.28338,1.00145,0.72604,0,0,0,0,0,0,0,0.00603304,0.00603304,0.00603304
42,4290.48,0.28364,0.95831,0.72571,0,0,0,0,0,0,0,0.00593387,0.00593387,0.00593387
43,4392.28,0.2866,0.95281,0.72669,0,0,0,0,0,0,0,0.00583469,0.00583469,0.00583469
44,4494.1,0.28613,0.94328,0.72732,0,0,0,0,0,0,0,0.00573552,0.00573552,0.00573552
45,4596.33,0.28225,0.93725,0.72379,0,0,0,0,0,0,0,0.00563634,0.00563634,0.00563634
46,4698.25,0.27933,0.92036,0.72295,0,0,0,0,0,0,0,0.00553717,0.00553717,0.00553717
47,4800.15,0.28023,0.89756,0.72432,0,0,0,0,0,0,0,0.005438,0.005438,0.005438
48,4902.22,0.27565,0.88201,0.72397,0,0,0,0,0,0,0,0.00533882,0.00533882,0.00533882
49,5004.1,0.27527,0.90074,0.72211,0,0,0,0,0,0,0,0.00523965,0.00523965,0.00523965
50,5106.06,0.27074,0.86504,0.72148,0,0,0,0,0,0,0,0.00514047,0.00514047,0.00514047
51,5208.03,0.26989,0.84821,0.72134,0,0,0,0,0,0,0,0.0050413,0.0050413,0.0050413
52,5310.07,0.27149,0.8293,0.72494,0,0,0,0,0,0,0,0.00494213,0.00494213,0.00494213
53,5412.1,0.26172,0.79756,0.71879,0,0,0,0,0,0,0,0.00484295,0.00484295,0.00484295
54,5514.07,0.26778,0.80103,0.72472,0,0,0,0,0,0,0,0.00474378,0.00474378,0.00474378
