epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.087,0.50265,6.34511,1.05867,0,0,0,0,0,0,0,0.00333194,0.00333194,0.00333194
2,211.561,0.47891,4.9162,0.99315,0,0,0,0,0,0,0,0.00659918,0.00659918,0.00659918
3,314.101,0.5661,4.35606,1.01495,0,0,0,0,0,0,0,0.0098003,0.0098003,0.0098003
4,416.377,0.5835,3.96058,1.00795,0,0,0,0,0,0,0,0.0097025,0.0097025,0.0097025
5,518.439,0.51719,3.47117,0.98354,0,0,0,0,0,0,0,0.00960334,0.00960334,0.00960334
6,620.503,0.45636,3.16747,0.95753,0,0,0,0,0,0,0,0.00950417,0.00950417,0.00950417
7,722.666,0.426,2.88225,0.94869,0,0,0,0,0,0,0,0.009405,0.009405,0.009405
8,824.911,0.41118,2.67035,0.94467,0,0,0,0,0,0,0,0.00930584,0.00930584,0.00930584
9,927.07,0.39561,2.52987,0.93789,0,0,0,0,0,0,0,0.00920667,0.00920667,0.00920667
10,1029.26,0.38612,2.34074,0.93221,0,0,0,0,0,0,0,0.00910751,0.00910751,0.00910751
11,1131.56,0.37745,2.17449,0.93058,0,0,0,0,0,0,0,0.00900834,0.00900834,0.00900834
12,1233.68,0.36567,2.0699,0.92638,0,0,0,0,0,0,0,0.00890917,0.00890917,0.00890917
13,1335.8,0.36205,1.99946,0.92327,0,0,0,0,0,0,0,0.00881001,0.00881001,0.00881001
14,1438.2,0.35043,1.87562,0.91985,0,0,0,0,0,0,0,0.00871084,0.00871084,0.00871084
15,1540.45,0.34204,1.80168,0.91968,0,0,0,0,0,0,0,0.00861168,0.00861168,0.00861168
16,1642.61,0.3393,1.70352,0.91597,0,0,0,0,0,0,0,0.00851251,0.00851251,0.00851251
17,1744.92,0.33373,1.64231,0.91491,0,0,0,0,0,0,0,0.00841334,0.00841334,0.00841334
18,1847.18,0.33497,1.6095,0.9159,0,0,0,0,0,0,0,0.00831418,0.00831418,0.00831418
19,1949.23,0.32705,1.53395,0.91031,0,0,0,0,0,0,0,0.00821501,0.00821501,0.00821501
20,2051.46,0.32512,1.49867,0.91171,0,0,0,0,0,0,0,0.00811585,0.00811585,0.00811585
21,2153.84,0.32499,1.45499,0.90968,0,0,0,0,0,0,0,0.00801668,0.00801668,0.00801668
22,2256.06,0.31653,1.41622,0.90972,0,0,0,0,0,0,0,0.00791751,0.00791751,0.00791751
23,2358.25,0.30751,1.35363,0.90459,0,0,0,0,0,0,0,0.00781835,0.00781835,0.00781835
24,2460.48,0.30812,1.33667,0.90624,0,0,0,0,0,0,0,0.00771918,0.00771918,0.00771918
25,2562.84,0.30568,1.29736,0.90531,0,0,0,0,0,0,0,0.00762002,0.00762002,0.00762002
26,2664.86,0.30082,1.26858,0.90388,0,0,0,0,0,0,0,0.00752085,0.00752085,0.00752085
27,2766.99,0.30272,1.22611,0.90155,0,0,0,0,0,0,0,0.00742168,0.00742168,0.00742168
28,2869.38,0.299,1.1841,0.90037,0,0,0,0,0,0,0,0.00732252,0.00732252,0.00732252
29,2971.59,0.2962,1.16836,0.90136,0,0,0,0,0,0,0,0.00722335,0.00722335,0.00722335
30,3073.83,0.29287,1.15672,0.90334,0,0,0,0,0,0,0,0.00712419,0.00712419,0.00712419
31,3176.34,0.29069,1.14185,0.90108,0,0,0,0,0,0,0,0.00702502,0.00702502,0.00702502
32,3278.44,0.2891,1.08481,0.90158,0,0,0,0,0,0,0,0.00692585,0.00692585,0.00692585
33,3380.6,0.29189,1.09299,0.9014,0,0,0,0,0,0,0,0.00682669,0.00682669,0.00682669
34,3482.77,0.28815,1.06372,0.89942,0,0,0,0,0,0,0,0.00672752,0.00672752,0.00672752
35,3585.12,0.28436,1.04294,0.89768,0,0,0,0,0,0,0,0.00662836,0.00662836,0.00662836
36,3687.16,0.28404,1.01488,0.89736,0,0,0,0,0,0,0,0.00652919,0.00652919,0.00652919
37,3789.24,0.28362,0.99252,0.89714,0,0,0,0,0,0,0,0.00643002,0.00643002,0.00643002
38,3891.53,0.27613,0.95888,0.89415,0,0,0,0,0,0,0,0.00633086,0.00633086,0.00633086
39,3993.62,0.278,0.96078,0.89473,0,0,0,0,0,0,0,0.00623169,0.00623169,0.00623169
40,4095.77,0.27594,0.95479,0.89636,0,0,0,0,0,0,0,0.00613253,0.00613253,0.00613253
41,4197.95,0.27288,0.93291,0.89576,0,0,0,0,0,0,0,0.00603336,0.00603336,0.00603336
42,4300.15,0.27417,0.90776,0.89376,0,0,0,0,0,0,0,0.00593419,0.00593419,0.00593419
43,4402.14,0.27,0.91411,0.89497,0,0,0,0,0,0,0,0.00583503,0.00583503,0.00583503
44,4504.22,0.27063,0.90784,0.89322,0,0,0,0,0,0,0,0.00573586,0.00573586,0.00573586
45,4606.37,0.26491,0.8722,0.89301,0,0,0,0,0,0,0,0.0056367,0.0056367,0.0056367
46,4708.42,0.26734,0.85013,0.89189,0,0,0,0,0,0,0,0.00553753,0.00553753,0.00553753
47,4810.44,0.26443,0.83334,0.89076,0,0,0,0,0,0,0,0.00543836,0.00543836,0.00543836
48,4912.68,0.26591,0.83213,0.89306,0,0,0,0,0,0,0,0.0053392,0.0053392,0.0053392
49,5014.87,0.26445,0.83296,0.89248,0,0,0,0,0,0,0,0.00524003,0.00524003,0.00524003
50,5117,0.26429,0.82491,0.89272,0,0,0,0,0,0,0,0.00514087,0.00514087,0.00514087
51,5219.21,0.25748,0.80568,0.88943,0,0,0,0,0,0,0,0.0050417,0.0050417,0.0050417
52,5321.66,0.25639,0.7672,0.8889,0,0,0,0,0,0,0,0.00494253,0.00494253,0.00494253
53,5423.95,0.25409,0.76026,0.88967,0,0,0,0,0,0,0,0.00484337,0.00484337,0.00484337
54,5526.2,0.25764,0.7537,0.88821,0,0,0,0,0,0,0,0.0047442,0.0047442,0.0047442
55,5628.64,0.25334,0.73519,0.88661,0,0,0,0,0,0,0,0.00464504,0.00464504,0.00464504
56,5730.84,0.25112,0.72185,0.88581,0,0,0,0,0,0,0,0.00454587,0.00454587,0.00454587
57,5833.09,0.25347,0.73136,0.88859,0,0,0,0,0,0,0,0.0044467,0.0044467,0.0044467
58,5935.33,0.24447,0.70602,0.88702,0,0,0,0,0,0,0,0.00434754,0.00434754,0.00434754
59,6037.64,0.24915,0.72018,0.88563,0,0,0,0,0,0,0,0.00424837,0.00424837,0.00424837
60,6139.83,0.24624,0.69445,0.88562,0,0,0,0,0,0,0,0.00414921,0.00414921,0.00414921
61,6241.93,0.24529,0.68794,0.88642,0,0,0,0,0,0,0,0.00405004,0.00405004,0.00405004
62,6344.26,0.24406,0.6719,0.88805,0,0,0,0,0,0,0,0.00395087,0.00395087,0.00395087
63,6446.42,0.24528,0.65459,0.88745,0,0,0,0,0,0,0,0.00385171,0.00385171,0.00385171
