epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.8718,0.58807,6.5512,1.0381,0,0,0,0,0,0,0,1.26127e-05,1.26127e-05,1.26127e-05
2,156.338,0.36662,5.14533,0.90653,0,0,0,0,0,0,0,2.35243e-05,2.35243e-05,2.35243e-05
3,232.479,0.34747,4.17031,0.89723,0,0,0,0,0,0,0,2.30486e-05,2.30486e-05,2.30486e-05
4,308.615,0.32846,3.28345,0.88451,0,0,0,0,0,0,0,2.2573e-05,2.2573e-05,2.2573e-05
5,384.921,0.3189,2.60725,0.87684,0,0,0,0,0,0,0,2.20973e-05,2.20973e-05,2.20973e-05
6,461.017,0.3069,2.12264,0.86993,0,0,0,0,0,0,0,2.16216e-05,2.16216e-05,2.16216e-05
7,537.134,0.29658,1.81373,0.86411,0,0,0,0,0,0,0,2.11459e-05,2.11459e-05,2.11459e-05
8,613.384,0.28734,1.57877,0.85697,0,0,0,0,0,0,0,2.06702e-05,2.06702e-05,2.06702e-05
9,689.489,0.27631,1.3638,0.85209,0,0,0,0,0,0,0,2.01946e-05,2.01946e-05,2.01946e-05
10,765.588,0.27351,1.24513,0.85047,0,0,0,0,0,0,0,1.97189e-05,1.97189e-05,1.97189e-05
11,841.827,0.26763,1.12026,0.8507,0,0,0,0,0,0,0,1.92432e-05,1.92432e-05,1.92432e-05
12,917.918,0.26289,1.0539,0.8474,0,0,0,0,0,0,0,1.87675e-05,1.87675e-05,1.87675e-05
13,994.009,0.25775,0.9877,0.84293,0,0,0,0,0,0,0,1.82918e-05,1.82918e-05,1.82918e-05
14,1070.23,0.25472,0.91179,0.84287,0,0,0,0,0,0,0,1.78162e-05,1.78162e-05,1.78162e-05
15,1146.29,0.24894,0.84715,0.8394,0,0,0,0,0,0,0,1.73405e-05,1.73405e-05,1.73405e-05
16,1222.41,0.24855,0.80582,0.83778,0,0,0,0,0,0,0,1.68648e-05,1.68648e-05,1.68648e-05
17,1298.49,0.24605,0.78727,0.83877,0,0,0,0,0,0,0,1.63891e-05,1.63891e-05,1.63891e-05
18,1374.71,0.2425,0.74395,0.83665,0,0,0,0,0,0,0,1.59134e-05,1.59134e-05,1.59134e-05
19,1451.51,0.23886,0.70897,0.83392,0,0,0,0,0,0,0,1.54378e-05,1.54378e-05,1.54378e-05
