epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,785.654,1.10862,6.91303,1.07018,0.53231,0.47289,0.46511,0.39703,0.99398,3.67931,1.01557,0.00318808,0.00318808,0.00318808
2,1540.33,0.98932,4.06894,0.98787,0.65714,0.70444,0.73832,0.62795,0.91032,2.09465,0.96325,0.00631333,0.00631333,0.00631333
3,2289.59,1.0289,3.47891,0.9904,0.70928,0.74762,0.7816,0.66311,0.89765,1.64214,0.95649,0.00937555,0.00937555,0.00937555
4,3035.35,1.037,3.21357,0.99036,0.79382,0.77042,0.82144,0.70082,0.85796,1.37182,0.93102,0.00970349,0.00970349,0.00970349
5,3780.93,0.93936,2.63558,0.95772,0.80279,0.8229,0.85761,0.73935,0.8096,1.11786,0.90626,0.00960465,0.00960465,0.00960465
6,4528.62,0.89027,2.32094,0.94012,0.81833,0.8485,0.88146,0.75909,0.78949,1.01217,0.89666,0.00950581,0.00950581,0.00950581
7,5273.04,0.84822,2.10105,0.92587,0.83725,0.87058,0.89758,0.77852,0.76966,0.93105,0.88485,0.00940698,0.00940698,0.00940698
8,6021.04,0.82247,1.96205,0.91699,0.83988,0.88688,0.904,0.78612,0.75701,0.87843,0.87958,0.00930814,0.00930814,0.00930814
9,6765.68,0.8071,1.85861,0.91224,0.83918,0.89597,0.90854,0.7923,0.74634,0.84231,0.87454,0.0092093,0.0092093,0.0092093
10,7512.7,0.7867,1.76869,0.90546,0.84845,0.89826,0.91269,0.79861,0.74014,0.81318,0.87152,0.00911047,0.00911047,0.00911047
11,8257.78,0.77379,1.70456,0.90115,0.84471,0.91311,0.91578,0.80354,0.73344,0.79163,0.86846,0.00901163,0.00901163,0.00901163
12,9003.36,0.7656,1.64561,0.89897,0.84775,0.91544,0.91882,0.8071,0.72802,0.77708,0.86646,0.00891279,0.00891279,0.00891279
13,9749.78,0.75416,1.58711,0.89462,0.8414,0.92105,0.92044,0.80975,0.72371,0.7629,0.86482,0.00881396,0.00881396,0.00881396
14,10495.6,0.74652,1.54829,0.89149,0.8429,0.92537,0.9215,0.81141,0.72008,0.74975,0.86319,0.00871512,0.00871512,0.00871512
15,11242.4,0.73493,1.50485,0.88757,0.84318,0.9287,0.92432,0.81476,0.71613,0.73566,0.86097,0.00861628,0.00861628,0.00861628
16,11987,0.73142,1.47837,0.88691,0.8505,0.9269,0.92638,0.81792,0.71139,0.72316,0.85876,0.00851745,0.00851745,0.00851745
17,12734.7,0.72272,1.44823,0.88426,0.85982,0.92067,0.92886,0.82068,0.70703,0.71204,0.85667,0.00841861,0.00841861,0.00841861
18,13479.8,0.7185,1.42038,0.88228,0.86466,0.91867,0.93059,0.82272,0.70278,0.70106,0.85479,0.00831977,0.00831977,0.00831977
19,14226,0.71574,1.40723,0.88162,0.86791,0.9188,0.93191,0.82529,0.69891,0.69079,0.85275,0.00822093,0.00822093,0.00822093
20,14971.6,0.70933,1.38404,0.87939,0.87204,0.92085,0.93412,0.82855,0.69514,0.68075,0.85098,0.0081221,0.0081221,0.0081221
21,15717.6,0.70561,1.36744,0.8793,0.87245,0.92247,0.93641,0.83169,0.69202,0.67096,0.84922,0.00802326,0.00802326,0.00802326
22,16464.3,0.69971,1.34729,0.87524,0.87455,0.92299,0.93817,0.83385,0.68905,0.66186,0.84762,0.00792442,0.00792442,0.00792442
23,17208.9,0.70101,1.32787,0.87702,0.87571,0.92457,0.93921,0.83525,0.68686,0.65166,0.84635,0.00782559,0.00782559,0.00782559
24,17956.1,0.69417,1.31915,0.8748,0.87675,0.92748,0.94035,0.8371,0.68488,0.64227,0.8454,0.00772675,0.00772675,0.00772675
25,18701.2,0.68944,1.29762,0.87229,0.87979,0.92862,0.94175,0.83873,0.683,0.63477,0.84461,0.00762791,0.00762791,0.00762791
26,19448.9,0.68717,1.28697,0.87294,0.88276,0.93025,0.94277,0.84035,0.68067,0.62847,0.84288,0.00752908,0.00752908,0.00752908
27,20194,0.68252,1.27243,0.87095,0.88319,0.93022,0.9437,0.84214,0.67847,0.62175,0.84157,0.00743024,0.00743024,0.00743024
28,20941.3,0.68343,1.26333,0.87286,0.88692,0.92945,0.94494,0.8435,0.67663,0.61672,0.84059,0.0073314,0.0073314,0.0073314
29,21686.1,0.67652,1.24164,0.8686,0.88912,0.93003,0.94578,0.84505,0.67471,0.61012,0.83944,0.00723256,0.00723256,0.00723256
30,22432.7,0.6728,1.22622,0.86751,0.88672,0.93411,0.94722,0.84658,0.67231,0.60329,0.83832,0.00713373,0.00713373,0.00713373
31,23179.2,0.6699,1.21799,0.86675,0.89106,0.93351,0.94774,0.84747,0.66981,0.59635,0.83695,0.00703489,0.00703489,0.00703489
32,23924.9,0.66941,1.21535,0.86693,0.89301,0.935,0.94864,0.84953,0.66824,0.59228,0.8359,0.00693605,0.00693605,0.00693605
33,24672,0.66359,1.19923,0.86508,0.89359,0.9367,0.94938,0.85002,0.66724,0.58854,0.8351,0.00683722,0.00683722,0.00683722
34,25417.2,0.66499,1.18814,0.86515,0.89942,0.93373,0.95021,0.85099,0.66683,0.58357,0.8346,0.00673838,0.00673838,0.00673838
35,26165.2,0.66339,1.18482,0.86528,0.90132,0.93418,0.95109,0.85144,0.66563,0.57971,0.83387,0.00663954,0.00663954,0.00663954
36,26909.8,0.66019,1.16985,0.86275,0.90459,0.93383,0.95183,0.85189,0.66399,0.57495,0.83292,0.0065407,0.0065407,0.0065407
37,27657,0.65258,1.15692,0.8599,0.90446,0.93437,0.95229,0.85251,0.66214,0.571,0.8319,0.00644187,0.00644187,0.00644187
38,28402.8,0.64938,1.14663,0.86036,0.90381,0.93604,0.95293,0.85394,0.66116,0.5678,0.83145,0.00634303,0.00634303,0.00634303
39,29148.9,0.64929,1.13992,0.86007,0.90626,0.93778,0.95319,0.8547,0.65961,0.56505,0.83058,0.00624419,0.00624419,0.00624419
40,29895,0.64611,1.13172,0.85838,0.90899,0.93661,0.95379,0.85593,0.65751,0.56299,0.82956,0.00614536,0.00614536,0.00614536
41,30642.3,0.64516,1.12339,0.85821,0.90937,0.93782,0.95463,0.8574,0.6561,0.55887,0.8292,0.00604652,0.00604652,0.00604652
42,31396,0.64175,1.11628,0.85633,0.9125,0.93508,0.95471,0.85826,0.65394,0.55816,0.82826,0.00594768,0.00594768,0.00594768
